MonitoringLocationName,MonitoringLocationID,MonitoringLocationLatitude,MonitoringLocationLongitude,ActivityStartDate,CharacteristicName,ResultValue,ResultUnit
Lake Ontario,62,43.88,-77,2023-04-17,Dissolved oxygen (DO),11.71,mg/L
Lake Ontario,62,43.88,-77,2023-04-17,Total suspended solids,0.3,mg/L
Lake Ontario,62,43.88,-77,2023-04-17,Chloride,23.3,mg/L
Lake Huron,89,45.917,-82.161,2022-09-15,Total suspended solids,1.2,mg/L
Lake Huron,89,45.917,-82.161,2022-09-15,Dissolved oxygen (DO),8.91,mg/L
Lake Huron,89,45.917,-82.161,2022-09-15,Chloride,5.96,mg/L
Lake Huron,89,45.917,-82.161,2022-09-15,pH,8.32,None
Lake Huron,89,45.917,-82.161,2024-09-06,pH,8.21,None
Lake Huron,89,45.917,-82.161,2024-09-06,Dissolved oxygen (DO),9.28,mg/L
Lake Huron,89,45.917,-82.161,2024-09-06,Chloride,6.3,mg/L
Lake Huron,89,45.917,-82.161,2024-09-06,Total suspended solids,1.4,mg/L
Lake Ontario,47,43.952,-77.588,2022-04-22,Dissolved oxygen (DO),11.53,mg/L
Lake Ontario,47,43.952,-77.588,2022-04-22,pH,8.22,None
Lake Ontario,47,43.952,-77.588,2022-04-22,Chloride,25.1,mg/L
Lake Ontario,47,43.952,-77.588,2022-04-22,Total suspended solids,0.3,mg/L
Lake Ontario,47,43.952,-77.588,2023-04-17,Chloride,24.9,mg/L
Lake Ontario,47,43.952,-77.588,2023-04-17,Dissolved oxygen (DO),11.21,mg/L
Lake Ontario,47,43.952,-77.588,2023-04-17,pH,8.26,None
Lake Ontario,47,43.952,-77.588,2023-04-17,Total suspended solids,0.3,mg/L
Lake Huron,76,46,-83.433,2022-09-15,Dissolved oxygen (DO),9.11,mg/L
Lake Huron,76,46,-83.433,2022-09-15,Total suspended solids,0.8,mg/L
Lake Huron,76,46,-83.433,2022-09-15,pH,8.27,None
Lake Huron,76,46,-83.433,2022-09-15,Chloride,5.55,mg/L
Lake Huron,76,46,-83.433,2024-09-06,pH,8.14,None
Lake Huron,76,46,-83.433,2024-09-06,Chloride,5.8,mg/L
Lake Huron,76,46,-83.433,2024-09-06,Total suspended solids,0.8,mg/L
Lake Huron,76,46,-83.433,2024-09-06,Dissolved oxygen (DO),9.25,mg/L
Lake Ontario,42,43.84,-78.038,2022-04-21,pH,8.19,None
Lake Ontario,42,43.84,-78.038,2022-04-21,Total suspended solids,0.2,mg/L
Lake Ontario,42,43.84,-78.038,2022-04-21,Dissolved oxygen (DO),11.49,mg/L
Lake Ontario,42,43.84,-78.038,2022-04-21,Chloride,24,mg/L
Lake Ontario,42,43.84,-78.038,2023-04-17,pH,8.27,None
Lake Ontario,42,43.84,-78.038,2023-04-17,Chloride,23.5,mg/L
Lake Ontario,42,43.84,-78.038,2023-04-17,Total suspended solids,0.3,mg/L
Lake Ontario,42,43.84,-78.038,2023-04-17,Dissolved oxygen (DO),11.36,mg/L
Georgian Bay,12,44.92,-80.875,2022-09-13,Total suspended solids,0.3,mg/L
Georgian Bay,12,44.92,-80.875,2022-09-13,Chloride,7.62,mg/L
Georgian Bay,12,44.92,-80.875,2022-09-13,pH,8.37,None
Georgian Bay,12,44.92,-80.875,2022-09-13,Dissolved oxygen (DO),8.99,mg/L
Georgian Bay,12,44.92,-80.875,2024-09-08,pH,8.26,None
Georgian Bay,12,44.92,-80.875,2024-09-08,Dissolved oxygen (DO),8.92,mg/L
Georgian Bay,12,44.92,-80.875,2024-09-08,Chloride,7.84,mg/L
Georgian Bay,12,44.92,-80.875,2024-09-08,Total suspended solids,0.6,mg/L
Lake Superior,115,47.847,-87.457,2024-09-15,Dissolved oxygen (DO),9.95,mg/L
Lake Superior,115,47.847,-87.457,2024-09-15,pH,7.93,None
Lake Superior,115,47.847,-87.457,2024-09-15,Total suspended solids,0.4,mg/L
Lake Superior,115,47.847,-87.457,2024-09-15,Chloride,1.57,mg/L
Lake Huron,13,43.753,-82.568,2022-05-31,Total suspended solids,0.5,mg/L
Lake Huron,13,43.753,-82.568,2022-09-20,Chloride,8.12,mg/L
Lake Huron,13,43.753,-82.568,2022-09-20,Dissolved oxygen (DO),8.83,mg/L
Lake Huron,13,43.753,-82.568,2022-09-20,pH,8.35,None
Lake Huron,13,43.753,-82.568,2022-05-31,Chloride,8.5,mg/L
Lake Huron,13,43.753,-82.568,2022-09-20,Total suspended solids,0.5,mg/L
Lake Huron,13,43.753,-82.568,2022-05-31,Dissolved oxygen (DO),11.06,mg/L
Lake Huron,13,43.753,-82.568,2022-05-31,pH,8.22,None
Lake Huron,13,43.753,-82.568,2024-08-27,Dissolved oxygen (DO),8.95,mg/L
Lake Huron,13,43.753,-82.568,2024-08-27,pH,8.38,None
Lake Huron,13,43.753,-82.568,2024-08-27,Chloride,8.15,mg/L
Lake Huron,13,43.753,-82.568,2024-08-27,Total suspended solids,0.6,mg/L
Lake Ontario,27,43.703,-78.957,2022-04-20,Chloride,23.1,mg/L
Lake Ontario,27,43.703,-78.957,2022-04-20,Total suspended solids,0.2,mg/L
Lake Ontario,27,43.703,-78.957,2022-04-20,Dissolved oxygen (DO),11.71,mg/L
Lake Ontario,27,43.703,-78.957,2022-04-20,pH,8.16,None
Lake Ontario,75,43.843,-76.355,2022-04-23,Dissolved oxygen (DO),11.19,mg/L
Lake Ontario,75,43.843,-76.355,2022-04-23,Total suspended solids,0.3,mg/L
Lake Ontario,75,43.843,-76.355,2022-04-23,Chloride,23,mg/L
Lake Ontario,75,43.843,-76.355,2022-04-23,pH,8.11,None
Lake Ontario,75,43.843,-76.355,2023-04-16,Dissolved oxygen (DO),11.48,mg/L
Lake Ontario,75,43.843,-76.355,2023-04-16,Total suspended solids,2,mg/L
Lake Ontario,75,43.843,-76.355,2023-04-16,pH,8.22,None
Lake Ontario,75,43.843,-76.355,2023-04-16,Chloride,24.1,mg/L
Georgian Bay,1,44.718,-80.857,2022-06-06,pH,8.08,None
Georgian Bay,1,44.718,-80.857,2022-06-06,pH,8.12,None
Georgian Bay,1,44.718,-80.857,2022-06-06,Dissolved oxygen (DO),11.38,mg/L
Georgian Bay,1,44.718,-80.857,2022-06-06,Chloride,7.49,mg/L
Georgian Bay,1,44.718,-80.857,2022-09-13,Chloride,7.51,mg/L
Georgian Bay,1,44.718,-80.857,2022-09-13,Chloride,7.64,mg/L
Georgian Bay,1,44.718,-80.857,2022-06-06,pH,8.03,None
Georgian Bay,1,44.718,-80.857,2022-09-13,Dissolved oxygen (DO),10.95,mg/L
Georgian Bay,1,44.718,-80.857,2022-09-13,Dissolved oxygen (DO),10.01,mg/L
Georgian Bay,1,44.718,-80.857,2022-09-13,Total suspended solids,0.3,mg/L
Georgian Bay,1,44.718,-80.857,2022-09-13,Chloride,7.53,mg/L
Georgian Bay,1,44.718,-80.857,2022-06-06,Dissolved oxygen (DO),11.39,mg/L
Georgian Bay,1,44.718,-80.857,2022-06-06,Dissolved oxygen (DO),11.01,mg/L
Georgian Bay,1,44.718,-80.857,2022-06-06,Dissolved oxygen (DO),11.32,mg/L
Georgian Bay,1,44.718,-80.857,2022-06-06,pH,8.09,None
Georgian Bay,1,44.718,-80.857,2022-06-06,Chloride,7.46,mg/L
Georgian Bay,1,44.718,-80.857,2022-09-13,Chloride,7.49,mg/L
Georgian Bay,1,44.718,-80.857,2022-09-13,Dissolved oxygen (DO),9.28,mg/L
Georgian Bay,1,44.718,-80.857,2022-09-13,Chloride,7.53,mg/L
Georgian Bay,1,44.718,-80.857,2022-09-13,Dissolved oxygen (DO),11.13,mg/L
Georgian Bay,1,44.718,-80.857,2022-09-13,pH,8.23,None
Georgian Bay,1,44.718,-80.857,2022-06-06,pH,8.07,None
Georgian Bay,1,44.718,-80.857,2022-09-13,Dissolved oxygen (DO),11.29,mg/L
Georgian Bay,1,44.718,-80.857,2022-06-06,Chloride,7.49,mg/L
Georgian Bay,1,44.718,-80.857,2022-06-06,Chloride,7.43,mg/L
Georgian Bay,1,44.718,-80.857,2022-09-13,pH,7.86,None
Georgian Bay,1,44.718,-80.857,2022-06-06,Total suspended solids,0.2,mg/L
Georgian Bay,1,44.718,-80.857,2022-06-06,Dissolved oxygen (DO),11.19,mg/L
Georgian Bay,1,44.718,-80.857,2022-09-13,pH,7.96,None
Georgian Bay,1,44.718,-80.857,2022-09-13,pH,8.21,None
Georgian Bay,1,44.718,-80.857,2022-09-13,Chloride,7.47,mg/L
Georgian Bay,1,44.718,-80.857,2022-09-13,pH,8.36,None
Georgian Bay,1,44.718,-80.857,2022-09-13,Dissolved oxygen (DO),10.21,mg/L
Georgian Bay,1,44.718,-80.857,2022-09-13,pH,7.9,None
Georgian Bay,1,44.718,-80.857,2022-06-06,Chloride,7.44,mg/L
Georgian Bay,1,44.718,-80.857,2024-09-08,Dissolved oxygen (DO),10.08,mg/L
Georgian Bay,1,44.718,-80.857,2024-09-08,Total suspended solids,0.3,mg/L
Georgian Bay,1,44.718,-80.857,2024-09-08,Chloride,7.76,mg/L
Georgian Bay,1,44.718,-80.857,2024-09-08,Dissolved oxygen (DO),10.3,mg/L
Georgian Bay,1,44.718,-80.857,2024-09-08,Dissolved oxygen (DO),10.33,mg/L
Georgian Bay,1,44.718,-80.857,2024-09-08,Chloride,7.77,mg/L
Georgian Bay,1,44.718,-80.857,2024-09-08,Chloride,7.78,mg/L
Georgian Bay,1,44.718,-80.857,2024-09-08,Chloride,7.77,mg/L
Georgian Bay,1,44.718,-80.857,2024-09-08,pH,8.29,None
Georgian Bay,1,44.718,-80.857,2024-09-08,pH,7.97,None
Georgian Bay,1,44.718,-80.857,2024-09-08,Dissolved oxygen (DO),10.17,mg/L
Georgian Bay,1,44.718,-80.857,2024-09-08,pH,8,None
Georgian Bay,1,44.718,-80.857,2024-09-08,pH,8.09,None
Georgian Bay,1,44.718,-80.857,2024-09-08,pH,7.99,None
Georgian Bay,1,44.718,-80.857,2024-09-08,Chloride,7.8,mg/L
Georgian Bay,1,44.718,-80.857,2024-09-08,Dissolved oxygen (DO),10.4,mg/L
Georgian Bay,1,44.718,-80.857,2024-09-08,pH,8.29,None
Georgian Bay,1,44.718,-80.857,2024-09-08,Dissolved oxygen (DO),8.83,mg/L
Georgian Bay,1,44.718,-80.857,2024-09-08,Chloride,7.98,mg/L
Lake Huron,12,43.89,-82.057,2022-09-21,Dissolved oxygen (DO),8.85,mg/L
Lake Huron,12,43.89,-82.057,2022-09-21,Chloride,7.96,mg/L
Lake Huron,12,43.89,-82.057,2022-09-21,pH,8.36,None
Lake Huron,12,43.89,-82.057,2022-09-21,Total suspended solids,0.3,mg/L
Lake Huron,12,43.89,-82.057,2024-08-30,Dissolved oxygen (DO),8.96,mg/L
Lake Huron,12,43.89,-82.057,2024-08-30,Chloride,8.02,mg/L
Lake Huron,12,43.89,-82.057,2024-08-30,pH,8.33,None
Lake Huron,12,43.89,-82.057,2024-08-30,Total suspended solids,0.3,mg/L
Lake Superior,212,46.75,-91.675,2024-09-18,Chloride,1.6,mg/L
Lake Superior,212,46.75,-91.675,2024-06-12,pH,8.02,None
Lake Superior,212,46.75,-91.675,2024-06-12,Chloride,2.38,mg/L
Lake Superior,212,46.75,-91.675,2024-06-12,pH,8.16,None
Lake Superior,212,46.75,-91.675,2024-06-12,Dissolved oxygen (DO),10.21,mg/L
Lake Superior,212,46.75,-91.675,2024-09-18,Total suspended solids,0.6,mg/L
Lake Superior,212,46.75,-91.675,2024-06-12,Total suspended solids,3.7,mg/L
Lake Superior,212,46.75,-91.675,2024-06-12,Chloride,2.12,mg/L
Lake Superior,212,46.75,-91.675,2024-06-12,Total suspended solids,3.1,mg/L
Lake Superior,212,46.75,-91.675,2024-06-12,Dissolved oxygen (DO),10.08,mg/L
Lake Superior,212,46.75,-91.675,2024-09-18,Dissolved oxygen (DO),9.66,mg/L
Lake Superior,212,46.75,-91.675,2024-09-18,pH,8.03,None
Lake Erie,888,42.281,-81.671,2022-08-18,Chloride,15,mg/L
Lake Erie,888,42.281,-81.671,2022-08-18,Dissolved oxygen (DO),4.19,mg/L
Lake Erie,888,42.281,-81.671,2022-08-18,Chloride,15,mg/L
Lake Erie,888,42.281,-81.671,2022-08-18,pH,7.56,None
Lake Erie,888,42.281,-81.671,2022-08-18,Chloride,15,mg/L
Lake Erie,888,42.281,-81.671,2022-08-18,Dissolved oxygen (DO),9.36,mg/L
Lake Erie,888,42.281,-81.671,2022-08-18,Dissolved oxygen (DO),2.87,mg/L
Lake Erie,888,42.281,-81.671,2022-08-18,Total suspended solids,1.4,mg/L
Lake Erie,888,42.281,-81.671,2022-08-18,Dissolved oxygen (DO),8.77,mg/L
Lake Erie,888,42.281,-81.671,2022-08-18,Chloride,15.1,mg/L
Lake Erie,888,42.281,-81.671,2022-08-18,pH,8.6,None
Lake Erie,888,42.281,-81.671,2022-08-18,pH,7.71,None
Lake Erie,888,42.281,-81.671,2022-08-18,Chloride,15.3,mg/L
Lake Erie,888,42.281,-81.671,2022-08-18,pH,7.65,None
Lake Erie,888,42.281,-81.671,2022-08-18,Dissolved oxygen (DO),2.88,mg/L
Lake Erie,888,42.281,-81.671,2022-08-18,pH,7.73,None
Lake Erie,888,42.281,-81.671,2023-05-19,Total suspended solids,-0.8,mg/L
Lake Erie,888,42.281,-81.671,2023-05-19,Chloride,14.8,mg/L
Lake Erie,888,42.281,-81.671,2023-05-19,Dissolved oxygen (DO),10.56,mg/L
Lake Erie,888,42.281,-81.671,2023-05-19,pH,8.34,None
Lake Erie,888,42.281,-81.671,2023-05-19,Dissolved oxygen (DO),11.23,mg/L
Lake Erie,888,42.281,-81.671,2023-05-19,Chloride,15,mg/L
Lake Erie,888,42.281,-81.671,2023-05-19,Chloride,15.3,mg/L
Lake Erie,888,42.281,-81.671,2023-05-19,pH,8.33,None
Lake Erie,888,42.281,-81.671,2023-05-19,Dissolved oxygen (DO),10.17,mg/L
Lake Erie,888,42.281,-81.671,2023-05-19,pH,8.02,None
Lake Erie,888,42.281,-81.671,2024-08-23,Chloride,14.7,mg/L
Lake Erie,888,42.281,-81.671,2024-08-23,Dissolved oxygen (DO),8.73,mg/L
Lake Erie,888,42.281,-81.671,2024-08-23,Dissolved oxygen (DO),1,mg/L
Lake Erie,888,42.281,-81.671,2024-04-18,Chloride,14.6,mg/L
Lake Erie,888,42.281,-81.671,2024-04-18,Chloride,14.6,mg/L
Lake Erie,888,42.281,-81.671,2024-08-23,pH,7.64,None
Lake Erie,888,42.281,-81.671,2024-08-23,Total suspended solids,1.8,mg/L
Lake Erie,888,42.281,-81.671,2024-04-18,Total suspended solids,2.5,mg/L
Lake Erie,888,42.281,-81.671,2024-04-18,Chloride,14.5,mg/L
Lake Erie,888,42.281,-81.671,2024-04-18,Chloride,14.6,mg/L
Lake Erie,888,42.281,-81.671,2024-08-23,pH,7.41,None
Lake Erie,888,42.281,-81.671,2024-08-23,pH,7.38,None
Lake Erie,888,42.281,-81.671,2024-08-23,Chloride,14.6,mg/L
Lake Erie,888,42.281,-81.671,2024-08-23,Dissolved oxygen (DO),2.89,mg/L
Lake Erie,888,42.281,-81.671,2024-08-23,Dissolved oxygen (DO),1.89,mg/L
Lake Erie,888,42.281,-81.671,2024-08-23,pH,7.46,None
Lake Erie,888,42.281,-81.671,2024-08-23,Chloride,14.8,mg/L
Lake Erie,888,42.281,-81.671,2024-08-23,Dissolved oxygen (DO),1.68,mg/L
Lake Erie,888,42.281,-81.671,2024-08-23,pH,8.57,None
Lake Erie,888,42.281,-81.671,2024-08-23,Chloride,14.9,mg/L
Lake Erie,888,42.281,-81.671,2024-08-23,Chloride,14.8,mg/L
Lake Erie,941,42.325,-79.833,2022-08-16,Chloride,16,mg/L
Lake Erie,941,42.325,-79.833,2022-08-16,Dissolved oxygen (DO),8.23,mg/L
Lake Erie,941,42.325,-79.833,2022-08-16,pH,8.43,None
Lake Erie,941,42.325,-79.833,2022-08-16,Total suspended solids,0.85,mg/L
Lake Erie,941,42.325,-79.833,2023-05-09,pH,8.39,None
Lake Erie,941,42.325,-79.833,2023-05-09,Dissolved oxygen (DO),11.17,mg/L
Lake Erie,941,42.325,-79.833,2023-05-09,Total suspended solids,2.2,mg/L
Lake Erie,941,42.325,-79.833,2023-05-09,Chloride,17,mg/L
Lake Erie,941,42.325,-79.833,2024-08-22,Total suspended solids,1,mg/L
Lake Erie,941,42.325,-79.833,2024-08-22,Chloride,15.8,mg/L
Lake Erie,941,42.325,-79.833,2024-08-22,pH,8.45,None
Lake Erie,941,42.325,-79.833,2024-08-22,Dissolved oxygen (DO),8.59,mg/L
Lake Huron,48,45.278,-82.452,2022-09-18,Total suspended solids,1.3,mg/L
Lake Huron,48,45.278,-82.452,2022-06-07,Chloride,7.45,mg/L
Lake Huron,48,45.278,-82.452,2022-09-18,pH,8.32,None
Lake Huron,48,45.278,-82.452,2022-06-07,Dissolved oxygen (DO),11.55,mg/L
Lake Huron,48,45.278,-82.452,2022-09-18,Dissolved oxygen (DO),9.11,mg/L
Lake Huron,48,45.278,-82.452,2022-06-07,Total suspended solids,0.2,mg/L
Lake Huron,48,45.278,-82.452,2022-06-07,pH,8.04,None
Lake Huron,48,45.278,-82.452,2022-09-18,Chloride,7.53,mg/L
Lake Huron,48,45.278,-82.452,2024-08-29,Dissolved oxygen (DO),9.24,mg/L
Lake Huron,48,45.278,-82.452,2024-08-29,Chloride,7.49,mg/L
Lake Huron,48,45.278,-82.452,2024-08-29,pH,8.36,None
Lake Huron,48,45.278,-82.452,2024-08-29,Total suspended solids,0.2,mg/L
Lake Huron,5,43.548,-81.745,2022-09-21,Dissolved oxygen (DO),8.85,mg/L
Lake Huron,5,43.548,-81.745,2022-09-21,Total suspended solids,0.6,mg/L
Lake Huron,5,43.548,-81.745,2022-09-21,pH,8.35,None
Lake Huron,5,43.548,-81.745,2022-09-21,Chloride,8.03,mg/L
Lake Huron,5,43.548,-81.745,2024-08-28,Dissolved oxygen (DO),8.88,mg/L
Lake Huron,5,43.548,-81.745,2024-08-28,Total suspended solids,0.4,mg/L
Lake Huron,5,43.548,-81.745,2024-08-28,Chloride,8.08,mg/L
Lake Huron,5,43.548,-81.745,2024-08-28,pH,8.3,None
Lake Ontario,58,43.328,-77.438,2022-04-24,Chloride,23.1,mg/L
Lake Ontario,58,43.328,-77.438,2022-04-24,Total suspended solids,0.3,mg/L
Lake Ontario,58,43.328,-77.438,2022-04-24,Dissolved oxygen (DO),11.56,mg/L
Lake Ontario,58,43.328,-77.438,2022-04-24,pH,8.15,None
Lake Ontario,58,43.328,-77.438,2023-04-15,pH,8.21,None
Lake Ontario,58,43.328,-77.438,2023-04-15,Total suspended solids,0.1,mg/L
Lake Ontario,58,43.328,-77.438,2023-04-15,Chloride,23.7,mg/L
Lake Ontario,58,43.328,-77.438,2023-04-15,Dissolved oxygen (DO),11.22,mg/L
Lake Huron,84,46.092,-82.557,2022-06-04,Chloride,5.99,mg/L
Lake Huron,84,46.092,-82.557,2022-06-04,pH,8.22,None
Lake Huron,84,46.092,-82.557,2022-09-15,pH,8.31,None
Lake Huron,84,46.092,-82.557,2022-06-04,Total suspended solids,0.3,mg/L
Lake Huron,84,46.092,-82.557,2022-06-04,Dissolved oxygen (DO),11.34,mg/L
Lake Huron,84,46.092,-82.557,2022-09-15,Chloride,6.12,mg/L
