MonitoringLocationID,MonitoringLocationName,MonitoringLocationLatitude,MonitoringLocationLongitude,ActivityStartDate,Chloride,Dissolved oxygen (DO),"Temperature, water",Total suspended solids,Turbidity,pH,WQI,Rating,DataType
13,Lake Ontario,43.417,-79.4,2023-04-06,14.200872619433447,10.043194232952647,13.90872,0.1,0.8201206434316353,8.262768674136321,94.99,Good,Observed
14,Lake Huron,43.942,-82.667,2022-09-20,8.13,8.74,21.0,0.4,0.19,8.35,82.63,Good,Observed
14,Lake Huron,43.942,-82.667,2024-08-27,8.41,8.87,21.0,0.9,0.24,8.41,82.88,Good,Observed
14,Lake Ontario,43.393,-79.487,2022-04-19,23.7,11.73,3.5,0.2,0.11,8.22,94.98,Good,Observed
15,Georgian Bay,45.167,-80.297,2022-06-05,7.52,11.04,8.0,0.1,0.09,8.08,94.99,Good,Observed
15,Georgian Bay,45.167,-80.297,2022-09-13,7.58,9.26,20.3,0.3,0.15,8.29,90.33,Good,Observed
15,Georgian Bay,45.167,-80.297,2024-09-10,8.11,9.68,15.0,0.6,0.22,8.08,94.14,Good,Observed
15,Lake Ontario,43.317,-79.443,2022-04-25,14.200872619433447,11.53,5.0,0.3,0.8201206434316353,8.2,94.97,Good,Observed
15,Lake Ontario,43.317,-79.443,2023-04-13,23.2,11.09,4.5,0.3,0.13,8.23,94.97,Good,Observed
16,Georgian Bay,45.354,-80.487,2022-06-05,7.45,10.27,9.3,0.4,0.12,8.12,94.96,Good,Observed
16,Georgian Bay,45.354,-80.487,2022-09-12,7.61,8.98,20.5,0.4,0.17,8.36,87.79,Good,Observed
16,Georgian Bay,45.354,-80.487,2024-09-10,7.96,9.63,16.0,0.7,0.21,8.2,94.0,Good,Observed
16,Lake Ontario,43.272,-79.36,2022-04-25,14.200872619433447,11.79,5.1,0.3,0.8201206434316353,8.19,94.97,Good,Observed
16,Lake Ontario,43.272,-79.36,2023-04-14,23.4,11.37,4.0,0.2,0.12,8.22,94.98,Good,Observed
17,Georgian Bay,45.245,-80.875,2022-06-06,7.459999999999999,11.55,4.0,0.1,0.08,8.004000000000001,94.99,Good,Observed
17,Georgian Bay,45.245,-80.875,2022-09-13,7.46,10.305,20.0,0.3,0.14,8.09,94.97,Good,Observed
17,Georgian Bay,45.245,-80.875,2024-09-09,7.856666666666666,10.01,17.5,0.9,0.17,8.084999999999999,94.91,Good,Observed
17,Lake Huron,44.1,-82.867,2022-05-31,8.245000000000001,11.495,11.5,0.3,0.14,8.225,94.97,Good,Observed
17,Lake Huron,44.1,-82.867,2022-09-20,7.966666666666666,9.003333333333334,20.7,0.4,0.21,8.34,86.0,Good,Observed
17,Lake Huron,44.1,-82.867,2024-08-27,8.4,8.876666666666667,22.0,0.8,0.25,8.4,73.69,Fair,Observed
17,Lake Ontario,43.225,-79.272,2022-04-25,27.4,10.985,6.5,0.5,0.23,8.265,94.95,Good,Observed
17,Lake Ontario,43.225,-79.272,2022-08-10,24.25,10.17,22.0,1.0,0.45,8.46,75.92,Good,Observed
17,Lake Ontario,43.225,-79.272,2023-04-14,27.15,11.48,6.0,0.2,0.22,8.27,94.98,Good,Observed
17,Lake Superior,46.713,-85.818,2024-06-09,1.59,10.45,9.0,0.4,0.16,8.39,94.96,Good,Observed
17,Lake Superior,46.713,-85.818,2024-09-14,1.59,9.35,18.0,0.5,0.15,7.97,93.33,Good,Observed
18,Lake Ontario,43.303,-79.278,2022-04-25,23.1,11.68,4.0,0.3,0.12,8.22,94.97,Good,Observed
18,Lake Ontario,43.303,-79.278,2023-04-14,23.2,11.34,3.9,0.4,0.14,8.22,94.96,Good,Observed
19,Georgian Bay,45.067,-81.254,2022-09-13,7.48,9.23,19.0,0.3,0.14,8.31,93.05,Good,Observed
19,Georgian Bay,45.067,-81.254,2024-09-08,7.75,9.16,19.0,0.3,0.23,8.26,92.87,Good,Observed
19,Lake Ontario,43.383,-79.285,2022-04-25,23.1,11.6,4.0,0.2,0.11,8.19,94.98,Good,Observed
20,Lake Huron,44.217,-83.083,2022-09-20,7.62,8.98,20.0,0.4,0.18,8.34,92.41,Good,Observed
20,Lake Huron,44.217,-83.083,2024-08-27,7.58,8.86,21.0,0.3,0.11,8.31,82.91,Good,Observed
20,Lake Ontario,43.338,-79.197,2022-04-26,23.3,11.68,4.5,0.6,0.32,8.22,94.94,Good,Observed
20,Lake Ontario,43.338,-79.197,2023-04-14,22.7,11.39,4.0,1.5,1.14,8.16,94.85,Good,Observed
21,Georgian Bay,45.365,-81.19,2022-06-06,7.39,11.8,4.5,0.3,0.1,7.99,94.97,Good,Observed
21,Georgian Bay,45.365,-81.19,2022-09-14,7.43,9.18,19.2,0.3,0.13,8.3,92.92,Good,Observed
21,Georgian Bay,45.365,-81.19,2024-09-09,7.63,9.06,17.5,0.7,0.19,8.24,92.58,Good,Observed
21,Lake Ontario,43.3,-79.12,2022-04-26,19.9,12.11,7.0,3.0,2.08,8.22,94.7,Good,Observed
21,Lake Ontario,43.3,-79.12,2023-04-14,26.4,11.56,6.0,1.2,1.7,8.21,94.88,Good,Observed
22,Lake Ontario,43.297,-79.005,2022-04-26,20.1,11.455,7.0,2.9,1.99,8.23,94.71,Good,Observed
22,Lake Ontario,43.297,-79.005,2022-08-10,21.35,9.425,25.5,0.8,0.41,8.5,42.07,Poor,Observed
22,Lake Ontario,43.297,-79.005,2023-04-14,17.0,11.455,7.5,10.7,10.6,8.125,93.93,Good,Observed
23,Lake Huron,44.333,-83.3,2022-06-01,7.73,10.94,11.0,0.4,0.15,8.18,94.96,Good,Observed
23,Lake Huron,44.333,-83.3,2022-09-19,7.75,9.47,17.5,1.1,0.37,8.3,93.56,Good,Observed
23,Lake Huron,44.333,-83.3,2024-08-27,8.38,8.52,21.0,1.1,0.35,8.3,82.07,Good,Observed
23,Lake Ontario,43.37,-79.067,2022-04-26,23.0,11.42,4.0,0.1,0.15,8.19,94.99,Good,Observed
23,Lake Ontario,43.37,-79.067,2023-04-14,23.3,11.5,4.0,1.0,0.69,8.17,94.9,Good,Observed
23,Lake Superior,47.213,-85.633,2024-06-09,1.5750000000000002,10.6925,4.5,0.35,0.14,8.0725,94.97,Good,Observed
23,Lake Superior,47.213,-85.633,2024-09-13,1.5716666666666663,10.796666666666669,14.5,0.4,0.11,7.848333333333334,94.96,Good,Observed
24,Georgian Bay,45.679,-80.839,2022-06-05,7.3,10.73,9.5,0.3,0.13,8.1,94.97,Good,Observed
24,Georgian Bay,45.679,-80.839,2022-09-14,7.44,9.18,18.9,0.4,0.17,8.34,92.91,Good,Observed
24,Georgian Bay,45.679,-80.839,2024-09-07,7.78,9.31,17.0,0.4,0.19,8.21,93.23,Good,Observed
24,Lake Ontario,43.44,-79.128,2022-04-26,23.1,11.64,4.0,0.1,0.12,8.17,94.99,Good,Observed
25,Lake Ontario,43.517,-79.08,2022-04-20,23.24,11.422,3.5,0.0,0.08,8.168000000000001,95.0,Excellent,Observed
26,Georgian Bay,45.833,-80.9,2022-06-05,6.88,10.84,8.5,0.3,0.16,7.99,94.97,Good,Observed
26,Georgian Bay,45.833,-80.9,2022-09-14,7.41,9.27,18.8,0.5,0.19,8.32,93.12,Good,Observed
26,Georgian Bay,45.833,-80.9,2024-09-07,7.56,9.6,15.5,0.4,0.27,8.15,93.96,Good,Observed
26,Lake Ontario,43.608,-79.017,2022-04-20,23.4,11.4,3.1,0.0,0.1,8.14,95.0,Excellent,Observed
26,Lake Ontario,43.608,-79.017,2022-08-12,23.166666666666668,10.806666666666668,19.5,0.8,0.4,8.346666666666666,94.92,Good,Observed
27,Georgian Bay,45.867,-81.0,2022-06-05,6.986666666666667,10.973333333333334,8.0,0.2,0.18,8.016666666666667,94.98,Good,Observed
27,Georgian Bay,45.867,-81.0,2022-09-14,7.330000000000001,9.276666666666666,18.9,0.4,0.2,8.31,93.15,Good,Observed
27,Georgian Bay,45.867,-81.0,2024-09-07,7.608,10.014,16.0,0.7,0.31,8.05,94.93,Good,Observed
27,Lake Huron,44.198,-82.503,2022-09-20,7.49,8.98,20.1,0.3,0.15,8.3,91.5,Good,Observed
27,Lake Huron,44.198,-82.503,2024-09-03,7.81,9.04,20.0,0.3,0.11,8.35,92.57,Good,Observed
27,Lake Ontario,43.703,-78.957,2022-04-20,23.1,11.71,3.6,0.2,0.1,8.16,94.98,Good,Observed
28,Lake Ontario,43.775,-78.855,2022-04-20,23.2,11.68,4.0,0.0,0.09,8.2,95.0,Excellent,Observed
29,Georgian Bay,45.583,-81.083,2022-06-05,7.412000000000001,11.15,9.5,0.1,0.1,8.07,94.99,Good,Observed
29,Georgian Bay,45.583,-81.083,2022-09-14,7.38,10.325,19.0,0.4,0.18,8.071666666666667,94.96,Good,Observed
29,Georgian Bay,45.583,-81.083,2024-09-07,7.663333333333334,10.316666666666666,17.5,0.5,0.24,8.13,94.95,Good,Observed
29,Lake Huron,44.367,-81.833,2022-06-07,7.426,11.384,4.0,0.2,0.11,8.07,94.98,Good,Observed
29,Lake Huron,44.367,-81.833,2022-09-19,7.508333333333333,10.226666666666668,20.0,0.2,0.16,8.131666666666666,94.98,Good,Observed
29,Lake Huron,44.367,-81.833,2024-08-29,7.706666666666667,10.498333333333331,20.5,0.2,0.16,8.276666666666666,90.23,Good,Observed
29,Lake Ontario,43.83,-78.87,2022-04-20,27.7,11.44,5.5,0.3,0.17,8.25,94.97,Good,Observed
30,Lake Huron,44.467,-81.453,2022-09-19,7.71,8.9,20.5,1.3,0.16,8.33,87.51,Good,Observed
30,Lake Huron,44.467,-81.453,2024-08-29,7.8,9.08,21.0,0.3,0.14,8.39,83.4,Good,Observed
30,Lake Ontario,43.83,-78.662,2022-04-21,23.6,11.53,4.0,0.1,0.1,8.21,94.99,Good,Observed
31,Georgian Bay,45.238,-81.44,2022-09-14,7.43,9.1,19.5,0.2,0.11,8.34,92.73,Good,Observed
31,Georgian Bay,45.238,-81.44,2024-09-09,7.65,9.1,18.0,0.6,0.13,8.23,92.69,Good,Observed
31,Lake Ontario,43.887,-78.46,2022-04-21,25.2,11.483333333333334,5.0,0.1,0.12,8.24,94.99,Good,Observed
31,Lake Ontario,43.887,-78.46,2023-04-18,26.866666666666664,11.24,6.0,0.2,0.15,8.283333333333333,94.98,Good,Observed
31,Lake Superior,47.918,-84.913,2024-06-18,1.5425,10.8325,9.5,0.7,0.17,8.344999999999999,94.93,Good,Observed
31,Lake Superior,47.918,-84.913,2024-09-23,1.5566666666666666,10.47,18.0,0.4,0.17,7.796666666666667,94.96,Good,Observed
32,Lake Huron,44.453,-82.342,2022-06-07,7.42,11.67,5.0,0.3,0.09,8.04,94.97,Good,Observed
32,Lake Huron,44.453,-82.342,2022-09-19,7.44,8.98,19.8,0.3,0.13,8.31,92.42,Good,Observed
32,Lake Huron,44.453,-82.342,2024-08-30,7.7,9.0,20.5,0.3,0.1,8.32,87.85,Good,Observed
32,Lake Ontario,43.783,-78.438,2022-04-21,23.4,11.57,3.0,0.1,0.1,8.17,94.99,Good,Observed
33,Georgian Bay,45.37,-81.585,2022-06-06,7.378,11.152,7.0,0.2,0.13,8.040000000000001,94.98,Good,Observed
33,Georgian Bay,45.37,-81.585,2022-09-14,7.434,10.192,19.0,0.4,0.14,8.178,94.96,Good,Observed
33,Georgian Bay,45.37,-81.585,2024-09-09,7.655,9.901666666666666,17.5,0.6,0.21,8.078333333333333,94.69,Good,Observed
33,Lake Huron,44.5,-82.833,2022-09-19,7.53,8.95,20.2,0.4,0.16,8.34,90.49,Good,Observed
33,Lake Huron,44.5,-82.833,2024-09-04,7.64,9.15,19.5,0.3,0.1,8.37,92.84,Good,Observed
33,Lake Ontario,43.597,-78.802,2022-04-20,23.32,11.462,3.0,0.1,0.09,8.172,94.99,Good,Observed
33,Lake Ontario,43.597,-78.802,2022-08-11,23.616666666666664,10.951666666666666,21.5,0.6,0.33,8.465,80.7,Good,Observed
33,Lake Ontario,43.597,-78.802,2023-04-14,23.08,11.36,3.9,0.2,0.12,8.17,94.98,Good,Observed
34,Lake Huron,44.64,-83.232,2022-06-01,7.38,10.98,10.4,0.2,0.12,8.17,94.98,Good,Observed
34,Lake Huron,44.64,-83.232,2022-09-19,7.94,9.13,20.0,0.8,0.27,8.42,92.75,Good,Observed
34,Lake Huron,44.64,-83.232,2024-09-04,7.93,9.07,20.0,0.8,0.19,8.41,92.59,Good,Observed
34,Lake Ontario,43.462,-78.76,2022-04-26,23.2,11.76,4.0,0.4,0.1,8.15,94.96,Good,Observed
34,Lake Ontario,43.462,-78.76,2023-04-14,23.1,11.36,3.5,0.2,0.12,8.16,94.98,Good,Observed
35,Georgian Bay,45.528,-81.669,2022-09-14,7.35,9.25,19.0,0.1,0.18,8.32,93.12,Good,Observed
35,Lake Ontario,43.36,-78.73,2022-04-26,23.6,10.043194232952647,6.0,0.5,0.35,8.2,94.95,Good,Observed
35,Lake Ontario,43.36,-78.73,2023-04-14,17.8,12.18,6.0,3.3,2.93,8.17,94.67,Good,Observed
36,Georgian Bay,45.708,-81.62,2022-09-14,7.37,9.32,19.0,0.5,0.22,8.32,93.25,Good,Observed
36,Georgian Bay,45.708,-81.62,2024-09-07,7.49,9.36,17.0,0.5,0.26,8.15,93.35,Good,Observed
36,Lake Huron,45.04,-83.378,2022-06-02,7.625,10.44,14.0,0.6,0.17,8.26,94.94,Good,Observed
36,Lake Huron,45.04,-83.378,2022-09-17,8.17,9.055,20.0,1.9,0.37,8.47,92.45,Good,Observed
36,Lake Huron,45.04,-83.378,2024-09-04,7.71,9.325,19.0,1.4,0.28,8.45,93.17,Good,Observed
36,Lake Ontario,43.492,-78.387,2022-04-26,23.1,11.94,3.0,0.0,0.1,8.17,95.0,Excellent,Observed
36,Lake Ontario,43.492,-78.387,2023-04-14,23.2,11.5,3.8,0.1,0.11,8.19,94.99,Good,Observed
37,Lake Ontario,43.392,-78.37,2022-04-26,23.3,11.45,6.0,0.4,0.27,8.2,94.96,Good,Observed
37,Lake Ontario,43.392,-78.37,2023-04-14,18.6,11.42,7.0,3.3,4.61,8.14,94.67,Good,Observed
38,Lake Huron,44.74,-82.057,2022-06-07,7.46,11.43,4.0,0.1,0.11,8.08,94.99,Good,Observed
38,Lake Huron,44.74,-82.057,2022-09-19,7.7,8.91,20.2,1.3,0.14,8.35,90.3,Good,Observed
38,Lake Huron,44.74,-82.057,2024-08-30,7.65,9.02,20.0,0.2,0.12,8.26,92.53,Good,Observed
38,Lake Ontario,43.383,-77.99,2022-04-24,23.933333333333334,11.126666666666663,6.0,0.3,0.24,8.283333333333333,94.97,Good,Observed
38,Lake Ontario,43.383,-77.99,2022-08-11,21.666666666666668,9.103333333333332,23.5,0.7,0.33,8.406666666666666,60.25,Fair,Observed
38,Lake Ontario,43.383,-77.99,2023-04-15,19.83333333333333,10.843333333333334,8.0,0.9,1.92,8.153333333333334,94.91,Good,Observed
39,Georgian Bay,45.873,-81.258,2022-09-14,7.32,9.23,18.9,0.4,0.18,8.32,93.03,Good,Observed
39,Georgian Bay,45.873,-81.258,2024-09-07,7.53,9.37,16.5,0.4,0.2,8.22,93.38,Good,Observed
39,Lake Huron,44.657,-81.378,2022-09-19,7.62,8.88,20.0,1.3,0.14,8.32,92.07,Good,Observed
39,Lake Huron,44.657,-81.378,2024-08-29,7.79,9.12,20.0,0.2,0.11,8.33,92.78,Good,Observed
39,Lake Ontario,43.487,-78.0,2022-04-24,23.0,11.5,3.5,0.2,0.12,8.25,94.98,Good,Observed
39,Lake Ontario,43.487,-78.0,2023-04-15,23.3,11.12,4.3,0.1,0.12,8.18,94.99,Good,Observed
39,Lake Superior,47.69,-85.967,2024-06-17,1.53,11.15,5.0,0.5,0.14,8.45,94.95,Good,Observed
39,Lake Superior,47.69,-85.967,2024-09-23,1.55,10.51,12.5,0.5,0.14,7.74,94.95,Good,Observed
40,Lake Huron,44.898,-81.437,2022-09-19,7.64,8.88,20.0,1.3,0.13,8.33,92.07,Good,Observed
40,Lake Huron,44.898,-81.437,2024-08-29,7.77,9.69,19.5,0.3,0.23,8.3,94.19,Good,Observed
40,Lake Ontario,43.59,-78.012,2022-04-25,22.9,11.53,3.5,0.1,0.09,8.2,94.99,Good,Observed
40,Lake Ontario,43.59,-78.012,2022-08-11,23.05,10.358333333333333,23.0,0.8,0.42,8.316666666666668,66.44,Fair,Observed
40,Lake Ontario,43.59,-78.012,2023-04-15,23.3,10.97,3.7,0.2,0.13,8.2,94.98,Good,Observed
41,Lake Huron,45.083,-81.537,2022-09-18,7.54,8.91,20.0,1.9,0.21,8.36,92.09,Good,Observed
41,Lake Huron,45.083,-81.537,2024-08-29,7.7,9.31,19.0,0.1,0.11,8.32,93.27,Good,Observed
41,Lake Ontario,43.717,-78.027,2022-04-21,23.08,10.774,2.75,0.3,0.14,8.162,94.97,Good,Observed
41,Lake Ontario,43.717,-78.027,2022-08-12,22.75,11.045,23.0,0.8,0.55,8.366666666666667,66.44,Fair,Observed
41,Lake Ontario,43.717,-78.027,2023-04-05,14.200872619433447,10.043194232952647,13.90872,0.2,0.8201206434316353,8.262768674136321,94.98,Good,Observed
41,Lake Ontario,43.717,-78.027,2023-04-14,23.26,11.496,3.0,0.2,0.17,8.226,94.98,Good,Observed
42,Georgian Bay,45.913,-81.595,2022-06-04,7.202500000000001,11.135,9.2,0.2,0.15,8.055,94.98,Good,Observed
42,Georgian Bay,45.913,-81.595,2022-09-14,7.316666666666666,9.523333333333332,19.0,0.2,0.15,8.143333333333333,93.79,Good,Observed
